ElemLabel,Area,Energy,Flux
4,31.67557642,19,0.5998312312
5,31.34549962,11,0.3509275697
6,29.69263358,14,0.4714974158
7,29.38811283,8,0.2722189086
8,29.40934462,5,0.1700139893
9,29.37662558,14,0.4765693719
10,29.42708243,16,0.5437168309
11,29.38988419,14,0.476354378
12,29.36769165,9,0.3064592242
13,12.29628975,7,0.5692774115
14,29.31504807,17,0.5799069461
15,29.46256766,9,0.3054723575
16,8.761659054,10,1.141336354
19,29.98536144,14,0.4668944887
20,11.1106715,9,0.8100320489
21,28.231174,7,0.2479528481
22,28.55568215,8,0.2801544
23,11.29653277,6,0.5311364223
24,31.52850701,9,0.2854559525
25,27.68130567,11,0.3973800995
26,31.32013636,7,0.2234983883
27,30.99547987,11,0.3548904565
28,16.02947172,10,0.6238508777
29,13.29107351,11,0.8276231404
30,27.00966217,7,0.2591665144
31,28.97932049,10,0.3450736536
35,31.69096739,13,0.410211523
37,14.2282413,11,0.7731103068
38,29.87606588,13,0.4351309189
39,29.68952912,13,0.4378648091
40,12.73676649,4,0.3140514513
41,29.49237698,11,0.3729777362
42,29.38696492,15,0.5104303912
43,29.3232374,9,0.3069238187
44,12.64785481,8,0.6325183298
45,12.52089304,14,1.118131108
46,29.43770719,14,0.4755805168
47,12.636347,7,0.5539575641
48,29.35897623,12,0.4087335984
49,29.28011103,17,0.5805988913
50,29.2652332,9,0.3075321471
51,12.23101137,3,0.245278163
52,29.52297083,13,0.4403350894
53,29.56211878,12,0.4059248963
54,12.66303076,13,1.026610473
56,29.19007106,14,0.4796151394
60,12.16585362,10,0.821972737
62,29.35392432,2,0.06813399046
63,29.94677019,12,0.4007109923
64,29.57468099,14,0.4733778871
65,11.88113885,7,0.5891691096
66,28.48417426,12,0.4212865674
67,11.62430493,15,1.290399735
68,29.90091307,8,0.2675503581
69,33.27829877,20,0.6009922604
70,30.25706133,4,0.1322005451
71,29.43712175,16,0.5435314002
72,29.71441635,7,0.2355758874
73,29.75119249,18,0.6050177654
74,29.42178895,12,0.407860991
75,29.43158252,8,0.2718168482
76,29.28679337,9,0.30730575
77,29.19462321,14,0.4795403558
78,28.83411742,13,0.4508547916
79,28.88663493,12,0.4154170269
80,12.63557605,15,1.187124349
81,30.73007664,11,0.3579555017
82,14.65445563,15,1.023579475
83,25.66507556,15,0.5844518153
84,16.67618978,17,1.019417518
85,23.91074438,9,0.3763998251
86,13.25682122,10,0.754328646
87,10.75739435,9,0.8366338269
88,12.83214942,9,0.7013634043
91,31.51848675,14,0.4441837614
92,14.686382,12,0.8170834721
93,31.0849257,14,0.4503790724
94,12.60661995,14,1.110527647
95,30.37938021,16,0.5266730227
96,14.90394409,11,0.7380596664
97,12.32119013,12,0.9739318909
98,7.523128163,8,1.06338744
99,12.33148795,13,1.054211792
100,12.50437289,14,1.119608326
101,29.3770005,10,0.3404023498
102,7.389444135,6,0.8119690589
103,17.55174192,11,0.6267184222
104,29.41679057,11,0.373936102
105,12.54955892,7,0.557788528
106,29.44401925,13,0.4415158096
107,12.47583508,21,1.683254056
108,12.36820238,18,1.455344879
109,29.23969703,9,0.3078007269
110,12.34824499,13,1.052781186
111,29.45178685,10,0.3395379727
112,12.51648801,13,1.038630004
113,29.54202576,16,0.5416013149
114,12.41592427,17,1.369209382
115,11.06425361,14,1.265336144
116,9.14307422,9,0.9843516287
117,11.74060482,11,0.9369193642
120,29.66936457,19,0.6403912007
122,29.90900321,14,0.4680864788
123,13.02416065,14,1.074925316
124,13.04738529,15,1.149655634
125,10.3403246,10,0.9670876292
126,28.00988706,16,0.5712268659
127,13.87980973,14,1.00865936
128,28.07598152,18,0.6411173901
129,10.49288883,11,1.048329033
130,10.753878,13,1.208866234
131,12.34606116,12,0.9719699139
133,11.97388983,12,1.002180592
134,10.26158189,10,0.9745086192
135,10.92508018,10,0.91532509
136,14.22922951,5,0.3513893704
137,12.27293512,14,1.140721422
138,9.443558075,6,0.6353537461
139,12.72657873,11,0.8643328452
140,12.45226716,6,0.481839967
142,8.359505731,8,0.9569943795
143,17.5365568,20,1.140474737
144,12.46558954,11,0.8824291838
145,11.30566127,11,0.9729638751
146,12.86279897,14,1.088410076
147,12.57774836,12,0.9540658357
148,11.30714769,15,1.326594506
149,10.44327882,15,1.43633051
151,12.15683705,9,0.7403241457
152,12.31503196,11,0.8932173324
153,12.55496818,13,1.035446671
154,11.26346816,12,1.065391213
155,12.81092225,9,0.7025255343
156,12.15647449,13,1.069388992
157,12.5591165,9,0.7166109174
158,11.96968077,15,1.253166254
160,13.17549011,17,1.290274582
