Energy,X,Y,Z,Normal_X,Normal_Y,Normal_Z,Wavelength,Flux
1.000000,-0.168686,1.046724,0.187022,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.466396,0.779907,0.649161,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.040626,-0.161054,0.482457,-0.081252,-0.498347,0.863162,550.000000,117.476347
1.000000,-0.436152,0.140254,0.363279,-0.872304,-0.244482,0.423455,550.000000,57.632197
1.000000,-0.301187,0.953683,0.348173,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.340682,0.348318,0.623690,-0.681365,-0.365972,0.633882,550.000000,86.271376
1.000000,-0.439486,-0.036200,0.254423,-0.878971,-0.238437,0.412985,550.000000,56.207313
1.000000,-0.131112,0.837252,0.549836,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.219733,0.976335,0.308938,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,0.491837,0.722612,0.521103,0.983673,-0.089983,0.155854,550.000000,21.211767
1.000000,0.320037,0.850640,0.526649,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.446177,0.634656,0.626998,-0.892354,-0.225668,0.390868,550.000000,53.197144
1.000000,0.289667,1.009972,0.250678,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.475175,0.668557,0.565651,-0.950351,-0.155590,0.269490,550.000000,36.677576
1.000000,0.380790,0.923538,0.400385,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.317096,-0.009924,0.440663,-0.634193,-0.386587,0.669589,550.000000,91.131076
1.000000,-0.326720,0.906298,0.430246,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.138796,0.967631,0.324014,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.153342,-0.226513,0.418751,-0.306685,-0.475906,0.824293,550.000000,112.186232
1.000000,-0.121507,1.057536,0.168293,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.289013,0.149651,0.557530,-0.578025,-0.408009,0.706693,550.000000,96.180941
1.000000,-0.437140,0.203847,0.397950,-0.874280,-0.242711,0.420388,550.000000,57.214762
1.000000,-0.096189,0.892803,0.453620,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.023010,0.071105,0.617791,-0.046020,-0.499470,0.865108,550.000000,117.741182
1.000000,-0.374024,0.832888,0.557396,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.302703,0.052133,0.489622,-0.605405,-0.397959,0.689285,550.000000,93.811636
1.000000,0.310286,0.912306,0.419840,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.427897,0.952298,0.350572,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.429979,-0.097878,0.238149,-0.859959,-0.255182,0.441988,550.000000,60.154553
1.000000,-0.491309,0.431656,0.356393,-0.982619,-0.092817,0.160764,550.000000,21.879967
1.000000,-0.286569,0.735159,0.726667,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.023063,0.376128,0.793893,-0.046125,-0.499468,0.865104,550.000000,117.740609
1.000000,0.340048,0.831666,0.559512,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.248713,0.352849,0.704572,-0.497427,-0.433753,0.751282,550.000000,102.249495
1.000000,-0.166115,0.840871,0.543569,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,0.307439,0.743369,0.712448,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.199966,0.378757,0.747843,-0.399932,-0.458272,0.793751,550.000000,108.029503
1.000000,-0.019087,0.690653,0.803753,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,0.255464,0.543794,0.810264,0.510927,-0.429812,0.744456,550.000000,101.320504
1.000000,0.397202,0.343757,0.549146,0.794403,-0.303695,0.526016,550.000000,71.590775
1.000000,-0.002993,0.819248,0.581021,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,0.444809,0.322601,0.449933,0.889618,-0.228353,0.395519,550.000000,53.830124
1.000000,-0.174513,0.893703,0.452060,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.280721,0.645416,0.850397,-0.561442,-0.413758,0.716650,550.000000,97.536046
1.000000,-0.472541,0.092470,0.242083,-0.945083,-0.163415,0.283043,550.000000,38.522215
1.000000,-0.370976,0.582731,0.723526,-0.741953,-0.335226,0.580629,550.000000,79.023567
1.000000,-0.074978,1.034937,0.207437,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.111455,-0.169417,0.465011,-0.222911,-0.487419,0.844235,550.000000,114.900417
1.000000,-0.110491,0.662476,0.852558,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.192219,-0.119183,0.464171,-0.384439,-0.461575,0.799472,550.000000,108.808106
1.000000,-0.034773,1.058534,0.166566,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.265137,0.573311,0.820494,-0.530275,-0.423913,0.734239,550.000000,99.929901
1.000000,-0.144289,0.730982,0.733902,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.492694,0.697490,0.501035,-0.985387,-0.085165,0.147509,550.000000,20.076037
1.000000,-0.104359,0.774721,0.658144,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.147157,-0.062474,0.515710,-0.294314,-0.477854,0.827668,550.000000,112.645615
1.000000,0.295826,0.222104,0.593688,0.591651,-0.403097,0.698185,550.000000,95.022925
1.000000,0.251074,0.106883,0.560991,0.502148,-0.432391,0.748923,550.000000,101.928396
1.000000,-0.337262,0.125114,0.498465,-0.674525,-0.369126,0.639345,550.000000,87.014885
1.000000,-0.399034,0.098546,0.404788,-0.798068,-0.301284,0.521838,550.000000,71.022219
1.000000,-0.086737,0.515208,0.866052,-0.173473,-0.492419,0.852895,550.000000,116.079039
1.000000,-0.051170,1.073472,0.140692,-0.000000,0.866025,0.500000,550.000000,68.050000
1.000000,-0.250174,0.146757,0.584614,-0.500347,-0.432912,0.749826,550.000000,102.051365
1.000000,0.351226,0.019762,0.422328,0.702452,-0.355866,0.616377,550.000000,83.888929
