Energy,X,Y,Z,Normal_X,Normal_Y,Normal_Z,Wavelength,Flux
1.000000,0.263406,0.059646,-0.018349,0.118028,-0.000008,0.993010,550.000000,402.471671
1.000000,0.806399,0.052556,-0.123606,0.261562,0.000010,0.965187,550.000000,261.387067
1.000000,0.239840,0.016172,-0.015623,0.111797,-0.000008,0.993731,550.000000,408.347548
1.000000,0.562133,0.082074,-0.066036,0.196994,0.000002,0.980405,550.000000,326.232299
1.000000,0.355539,0.092757,-0.030449,0.142383,-0.000005,0.989812,550.000000,379.309012
1.000000,0.736231,0.021516,-0.105311,0.243013,0.000007,0.970023,550.000000,280.252747
1.000000,0.176652,0.017852,-0.009051,0.095094,-0.000010,0.995468,550.000000,423.999633
1.000000,0.654397,0.071583,-0.085774,0.221383,0.000005,0.975187,550.000000,302.009690
1.000000,0.841297,0.068104,-0.133243,0.270788,0.000011,0.962639,550.000000,251.931572
1.000000,0.046882,0.086616,0.001097,0.060792,-0.000014,0.998150,550.000000,455.690823
1.000000,0.838303,0.100001,-0.133304,0.270059,0.000011,0.962844,550.000000,252.680024
1.000000,0.077165,0.006275,-0.000871,0.068795,-0.000014,0.997631,550.000000,448.351504
1.000000,0.596097,0.095834,-0.073022,0.205973,0.000003,0.978558,550.000000,317.352552
1.000000,0.022315,0.030650,0.002512,0.054296,-0.000015,0.998525,550.000000,461.624272
1.000000,0.303493,0.094575,-0.023331,0.128625,-0.000006,0.991693,550.000000,392.431205
1.000000,0.014835,0.098504,-0.000134,0.052363,-0.000015,0.998628,550.000000,463.385717
1.000000,0.637881,0.042805,-0.082064,0.217016,0.000004,0.976168,550.000000,306.370474
1.000000,0.407933,0.007048,-0.038361,0.156230,-0.000003,0.987721,550.000000,366.001034
1.000000,0.247580,0.072928,-0.016502,0.113845,-0.000008,0.993499,550.000000,406.418796
1.000000,0.906947,0.030374,-0.152352,0.288141,0.000013,0.957588,550.000000,234.013925
1.000000,0.342252,0.048496,-0.028562,0.138870,-0.000005,0.990311,550.000000,382.669796
1.000000,0.503993,0.086565,-0.054826,0.181625,-0.000000,0.983368,550.000000,341.330234
1.000000,0.552643,0.064596,-0.064141,0.194485,0.000002,0.980906,550.000000,328.705942
1.000000,0.960657,0.067533,-0.168950,0.302340,0.000015,0.953200,550.000000,219.222517
1.000000,0.152415,0.064254,-0.006814,0.088688,-0.000011,0.996059,550.000000,429.963795
1.000000,0.438351,0.077642,-0.043299,0.164273,-0.000002,0.986415,550.000000,358.224771
1.000000,0.823010,0.064039,-0.128149,0.265954,0.000010,0.963986,550.000000,256.892280
1.000000,0.083141,0.049967,-0.001287,0.070376,-0.000013,0.997521,550.000000,446.897644
1.000000,0.356932,0.098295,-0.029508,0.142709,-0.000005,0.989765,550.000000,378.997237
1.000000,0.342464,0.000036,-0.027361,0.138879,-0.000005,0.990309,550.000000,382.660453
1.000000,0.001823,0.026942,0.003570,0.048879,-0.000016,0.998805,550.000000,466.555704
1.000000,0.517371,0.067003,-0.057322,0.185161,0.000000,0.982708,550.000000,337.868084
1.000000,0.427085,0.051813,-0.041441,0.161294,-0.000002,0.986906,550.000000,361.108786
1.000000,0.750001,0.087551,-0.108789,0.246655,0.000008,0.969103,550.000000,276.563923
1.000000,0.589779,0.065332,-0.071698,0.204302,0.000003,0.978908,550.000000,319.008583
1.000000,0.389199,0.088672,-0.035446,0.151281,-0.000004,0.988491,550.000000,370.769457
1.000000,0.029582,0.010089,0.002109,0.056217,-0.000015,0.998419,550.000000,459.872399
1.000000,0.795445,0.083038,-0.120656,0.258668,0.000009,0.965966,550.000000,264.343910
1.000000,0.527667,0.040280,-0.059277,0.187882,0.000001,0.982192,550.000000,335.199172
1.000000,0.242236,0.042915,-0.015893,0.112431,-0.000008,0.993660,550.000000,407.750399
1.000000,0.088999,0.063433,-0.001705,0.071925,-0.000013,0.997410,550.000000,445.471908
1.000000,0.599822,0.057906,-0.073808,0.206956,0.000003,0.978350,550.000000,316.377453
1.000000,0.376283,0.039353,-0.033492,0.147865,-0.000004,0.989008,550.000000,374.052825
1.000000,0.031150,0.034473,0.002021,0.056632,-0.000015,0.998395,550.000000,459.493412
1.000000,0.784018,0.086205,-0.117615,0.255647,0.000009,0.966770,550.000000,267.424050
1.000000,0.563017,0.081291,-0.066213,0.197228,0.000002,0.980358,550.000000,326.001800
1.000000,0.517168,0.075275,-0.057284,0.185108,0.000000,0.982718,550.000000,337.920348
1.000000,0.336037,0.071534,-0.027696,0.137227,-0.000005,0.990540,550.000000,384.238374
1.000000,0.804155,0.099187,-0.124400,0.261064,0.000010,0.965321,550.000000,261.896550
1.000000,0.402898,0.073506,-0.037568,0.154901,-0.000003,0.987930,550.000000,367.282608
1.000000,0.563438,0.076572,-0.066298,0.197339,0.000002,0.980335,550.000000,325.892151
1.000000,0.768291,0.090694,-0.113493,0.251490,0.000009,0.967860,550.000000,271.655236
1.000000,0.312755,0.023873,-0.024544,0.131072,-0.000006,0.991373,550.000000,390.105267
1.000000,0.562654,0.084781,-0.066140,0.197132,0.000002,0.980377,550.000000,326.096289
1.000000,0.054326,0.075388,0.000636,0.062760,-0.000014,0.998029,550.000000,453.889657
1.000000,0.617712,0.028567,-0.077638,0.211684,0.000004,0.977338,550.000000,311.681094
1.000000,0.901959,0.017726,-0.150855,0.286822,0.000013,0.957984,550.000000,235.381858
1.000000,0.448456,0.055389,-0.044996,0.166944,-0.000002,0.985966,550.000000,355.635098
1.000000,0.068885,0.065133,-0.000308,0.066608,-0.000014,0.997779,550.000000,450.360505
1.000000,0.742992,0.087854,-0.107012,0.244803,0.000008,0.969573,550.000000,278.441399
1.000000,0.132589,0.050706,-0.005102,0.083447,-0.000012,0.996512,550.000000,434.828072
1.000000,0.013738,0.054785,0.002969,0.052030,-0.000016,0.998646,550.000000,463.689463
1.000000,0.328176,0.050930,-0.026615,0.135149,-0.000006,0.990825,550.000000,386.221623
1.000000,0.037641,0.033327,0.001647,0.058348,-0.000015,0.998296,550.000000,457.926267
1.000000,0.103711,0.057983,-0.002795,0.075814,-0.000013,0.997122,550.000000,441.887157
1.000000,0.084936,0.091486,-0.001414,0.070852,-0.000013,0.997487,550.000000,446.459865
1.000000,0.931353,0.021226,-0.159786,0.294592,0.000014,0.955623,550.000000,227.308111
1.000000,0.366411,0.094401,-0.032029,0.145257,-0.000004,0.989394,550.000000,376.555323
1.000000,0.618440,0.003963,-0.077795,0.211876,0.000004,0.977297,550.000000,311.490382
1.000000,0.413232,0.066873,-0.039203,0.157633,-0.000003,0.987498,550.000000,364.647254
1.000000,0.006744,0.095321,0.003327,0.050182,-0.000016,0.998740,550.000000,465.370964
1.000000,0.570722,0.070337,-0.067772,0.199264,0.000002,0.979946,550.000000,323.991264
1.000000,0.737533,0.056965,-0.105638,0.243359,0.000008,0.969936,550.000000,279.903285
1.000000,0.302567,0.035602,-0.023211,0.128379,-0.000006,0.991725,550.000000,392.665648
1.000000,0.258801,0.062862,-0.017805,0.116810,-0.000008,0.993154,550.000000,403.621187
1.000000,0.246653,0.077887,-0.016396,0.113600,-0.000008,0.993527,550.000000,406.649498
1.000000,0.120332,0.066010,-0.004095,0.080207,-0.000012,0.996778,550.000000,437.827608
1.000000,0.495384,0.091345,-0.053246,0.179350,-0.000000,0.983785,550.000000,343.555064
1.000000,0.316366,0.045197,-0.025023,0.132027,-0.000006,0.991246,550.000000,389.196199
1.000000,0.494602,0.099374,-0.053294,0.179152,-0.000000,0.983821,550.000000,343.748092
1.000000,0.542320,0.014091,-0.062110,0.191755,0.000001,0.981443,550.000000,331.393680
1.000000,0.121403,0.098384,-0.004204,0.080492,-0.000012,0.996755,550.000000,437.564308
1.000000,0.149156,0.045110,-0.006526,0.087826,-0.000011,0.996136,550.000000,430.764752
1.000000,0.459718,0.069976,-0.046921,0.169921,-0.000001,0.985458,550.000000,352.743295
1.000000,0.441921,0.064701,-0.043895,0.165216,-0.000002,0.986257,550.000000,357.310476
