iteration,ux_cum,uy_cum,uz_cum,u_mag_cum,tip_def_x,tip_def_y,tip_def_z,tip_label,t_max_K,t_min_K
1,-0.007656,0.000017,-0.109890,0.110156,0.992344,0.100017,-0.109890,1111,4.27,4.27
2,-0.026726,0.000026,-0.203496,0.205244,0.973275,0.100019,-0.203487,11,4.54,4.44
3,-0.051356,0.000034,-0.281247,0.285897,0.948699,0.100027,-0.281103,1,4.81,4.51
4,-0.077775,0.000026,-0.345015,0.353673,0.921297,0.100020,-0.346466,1101,5.06,4.50
5,-0.103446,0.000022,-0.396842,0.410103,0.894521,0.100014,-0.399635,1111,5.30,4.50
6,-0.127545,0.000010,-0.439445,0.457580,0.869255,0.100000,-0.443436,11,5.52,4.50
7,-0.149566,0.000235,-0.474574,0.497584,0.847208,0.100225,-0.478553,1,5.73,4.51
8,-0.170112,-0.000433,-0.504823,0.532715,0.824480,0.099562,-0.510479,1101,5.93,4.31
9,-0.187771,-0.000652,-0.529432,0.561744,0.805938,0.099343,-0.535694,1111,6.11,4.14
10,-0.202004,-0.000855,-0.549171,0.585145,0.790229,0.099139,-0.556301,11,6.28,3.93
11,-0.212745,-0.001158,-0.564597,0.603350,0.780151,0.098836,-0.571319,1,6.43,3.69
12,-0.220500,-0.001331,-0.576584,0.617310,0.772315,0.098663,-0.583328,114,6.57,3.43
