Energy,X,Y,Z,Normal_X,Normal_Y,Normal_Z,Wavelength,Flux
1.000000,0.067033,0.391614,-0.005363,-0.626597,0.000000,0.779344,550.000000,319.799225
1.000000,0.067106,0.516313,-0.006639,-0.533971,0.000000,-0.845503,550.000000,272.525676
1.000000,0.066784,0.319702,-0.006233,-0.944523,0.000000,-0.328444,550.000000,482.061075
1.000000,0.067446,0.288499,-0.005194,-0.100256,0.000000,0.994962,550.000000,51.168410
1.000000,0.066876,0.295671,-0.005533,-0.826617,0.000000,0.562765,550.000000,421.884473
1.000000,0.066744,0.560674,-0.006049,-0.995590,0.000000,-0.093812,550.000000,508.124190
1.000000,0.066765,0.316407,-0.006170,-0.968528,0.000000,-0.248904,550.000000,494.312567
1.000000,0.066935,0.445547,-0.005457,-0.751184,0.000000,0.660093,550.000000,383.385453
1.000000,0.066795,0.416633,-0.005686,-0.929645,0.000000,0.368458,550.000000,474.467332
1.000000,0.066784,0.563349,-0.006233,-0.944359,0.000000,-0.328917,550.000000,481.977052
1.000000,0.066944,0.547569,-0.006503,-0.740013,0.000000,-0.672593,550.000000,377.683882
1.000000,0.066855,0.303794,-0.005566,-0.853868,0.000000,0.520490,550.000000,435.792714
1.000000,0.066884,0.491529,-0.006428,-0.816635,0.000000,-0.577154,550.000000,416.790217
1.000000,0.066893,0.292142,-0.006441,-0.805001,0.000000,-0.593274,550.000000,410.852251
1.000000,0.066741,0.362822,-0.005949,-0.999437,0.000000,0.033561,550.000000,510.087485
1.000000,0.066740,0.445258,-0.005989,-0.999828,0.000000,-0.018530,550.000000,510.287374
1.000000,0.066801,0.358884,-0.005671,-0.922262,0.000000,0.386565,550.000000,470.699477
1.000000,0.066784,0.289980,-0.005717,-0.944624,0.000000,0.328155,550.000000,482.112435
1.000000,0.066743,0.285868,-0.006043,-0.996211,0.000000,-0.086975,550.000000,508.440938
1.000000,0.066831,0.304716,-0.006341,-0.884259,0.000000,-0.466998,550.000000,451.303440
1.000000,0.066749,0.318895,-0.005857,-0.988623,0.000000,0.150418,550.000000,504.568210
1.000000,0.066789,0.395686,-0.005701,-0.937392,0.000000,0.348277,550.000000,478.421267
1.000000,0.066761,0.332394,-0.005795,-0.973442,0.000000,0.228936,550.000000,496.820241
1.000000,0.066740,0.521061,-0.005979,-0.999989,0.000000,-0.004654,550.000000,510.369474
1.000000,0.066965,0.363582,-0.006525,-0.713578,0.000000,-0.700576,550.000000,364.192345
